179,692,-33750,-15589
180,691,-33750,-19486
181,690,-33750,-23383
182,689,-33750,-27280
183,688,-33750,-31177
184,735,-33750,-35075
185,734,-33750,-38972
186,733,-33750,-42869
187,732,-33750,-46766
188,731,-33750,-50663
189,730,-33750,-54560
190,279,-30375,56508
191,280,-30375,52611
192,281,-30375,48713
193,282,-30375,44816
194,283,-30375,40919
195,304,-30375,37022
196,305,-30375,33125
197,306,-30375,29228
198,307,-30375,25331
199,308,-30375,21434
200,309,-30375,17537
201,310,-30375,13639
202,311,-30375,9742
203,312,-30375,5845
204,313,-30375,1948
205,729,-30375,-1949
206,728,-30375,-5846
207,727,-30375,-9743
208,726,-30375,-13640
209,725,-30375,-17538
210,724,-30375,-21435
211,723,-30375,-25332
212,722,-30375,-29229
213,721,-30375,-33126
214,720,-30375,-37023
215,763,-30375,-40920
216,762,-30375,-44817
217,761,-30375,-48714
218,760,-30375,-52612
219,759,-30375,-56509
220,244,-27000,58456
221,245,-27000,54559
222,246,-27000,50662
223,247,-27000,46765
224,248,-27000,42868
225,249,-27000,38971
226,250,-27000,35074
227,251,-27000,31176
228,252,-27000,27279
229,253,-27000,23382
230,254,-27000,19485
231,255,-27000,15588
232,272,-27000,11691
233,273,-27000,7794
234,274,-27000,3897
235,541,-27000,0
236,754,-27000,-3898
237,753,-27000,-7795
238,752,-27000,-11692
239,799,-27000,-15589
240,798,-27000,-19486
241,797,-27000,-23383
242,796,-27000,-27280
243,795,-27000,-31177
244,794,-27000,-35075
245,793,-27000,-38972
246,792,-27000,-42869
247,791,-27000,-46766
248,790,-27000,-50663
249,789,-27000,-54560
250,788,-27000,-58457
251,213,-23625,60405
252,214,-23625,56508
253,215,-23625,52611
254,216,-23625,48713
255,217,-23625,44816
256,218,-23625,40919
257,219,-23625,37022
258,220,-23625,33125
259,221,-23625,29228
260,222,-23625,25331
261,223,-23625,21434
262,240,-23625,17537
263,241,-23625,13639
264,242,-23625,9742
265,243,-23625,5845
266,508,-23625,1948
267,540,-23625,-1949
268,787,-23625,-5846
269,786,-23625,-9743
270,785,-23625,-13640
271,784,-23625,-17538
272,831,-23625,-21435
273,830,-23625,-25332
274,829,-23625,-29229
275,828,-23625,-33126
276,827,-23625,-37023
277,826,-23625,-40920
